timestamp,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,ErrRP,ErrYaw,MagX,MagY,MagZ,abGyrX,abGyrY,abGyrZ,abAccX,abAccY,abAccZ,labels
16113552,0,0.02,0,0,3.645,3.645,0,0,232,52,52,0.00023188,0.0002251,0.00019837,-0.0008524,-0.00094593,-9.818672,0
16163532,0,0.02,0,0,3.65,3.65,0,0,232,52,52,0.00013684,0.00019609,0.00021673,-0.00138934,-0.00093525,-9.817356,0
16163532,0,0.02,0,0,3.65,3.65,0,0,232,52,52,0.0002468,0.0002343,0.00021916,-0.00091096,-0.00141312,-9.816659,0
16213512,0,0.02,0,0.005,3.655,3.655,0,0,232,52,52,0.00016694,0.00019318,0.0002493,0.00002244,-0.00154289,-9.818151,0
16263492,0,0.02,0,0.01,3.66,3.66,0,0,232,52,52,0.00009664,0.0001082,0.00032578,-0.0019884,-0.00025665,-9.817297,0
16263492,0,0.02,0,0.01,3.66,3.66,0,0,232,52,52,0.00021594,0.00027871,0.00022963,-0.0009195,-0.00150762,-9.817439,0
16313472,0,0.02,0,0.01,3.665,3.665,0,0,232,52,52,0.00019034,0.0001543,0.00019967,-0.00078213,-0.00201088,-9.817229,0
16363452,0,0.02,0,0.01,3.67,3.67,0,0,232,52,52,0.00017813,0.00016837,0.00025298,-0.00061553,-0.00076646,-9.817011,0
16363452,0,0.02,0,0.01,3.67,3.67,0,0,232,52,52,0.00020858,0.00014252,0.00028046,-0.00149213,-0.00043043,-9.817325,0
16413432,0,0.02,0,0.01,3.675,3.675,0,0,232,52,52,0.00020868,0.0001994,0.00024965,-0.00185593,-0.00070127,-9.817087,0
16463412,0,0.02,0,0.01,3.68,3.68,0,0,232,52,52,0.00022336,0.00014483,0.00020507,-0.00016413,-0.00098202,-9.817739,0
16463412,0,0.02,0,0.01,3.68,3.68,0,0,232,52,52,0.00025744,0.00029467,0.00018896,-0.00218673,-0.00059944,-9.818016,0
16513392,0,0.02,0,0.01,3.685,3.685,0,0,232,52,52,0.00019044,0.00014594,0.00028115,-0.00196776,-0.00163556,-9.817288,0
16563372,0,0.02,0,0.01,3.69,3.69,0,0,232,52,52,0.00018955,0.00014075,0.00029297,-0.00198397,-0.00287801,-9.81838,0
16563372,0,0.02,0,0.01,3.69,3.69,0,0,232,52,52,0.00027284,0.00018887,0.0002428,-0.00036551,-0.00108434,-9.817098,0
16613352,0,0.02,0,0.01,3.69,3.69,0,0,232,52,52,0.00021091,0.00019565,0.00021704,-0.00088273,-0.00084416,-9.817721,0
16663332,0,0.02,0,0.01,3.69,3.69,0,0,232,52,52,0.00017653,0.00027011,0.00018978,-0.00097127,-0.00196943,-9.816832,0
16663332,0,0.02,0,0.01,3.69,3.69,0,0,232,52,52,0.00020084,0.0001427,0.00025834,0.00006316,-0.00116116,-9.81757,0
16713312,0,0.02,0,0.01,3.695,3.695,0,0,232,52,52,0.00016976,0.00021712,0.00028091,-0.00194673,-0.00074627,-9.817307,0
16763292,0,0.02,0,0.01,3.7,3.7,0,0,232,52,52,0.00017816,0.00021796,0.00023681,-0.00107274,-0.00090336,-9.817468,0
16763292,0,0.02,0,0.01,3.7,3.7,0,0,232,52,52,0.0002051,0.00019509,0.00027407,-0.00030444,-0.0006866,-9.816691,0
16813688.5,0,0.02,0,0.01,3.705,3.705,0,0,232,52,52,0.00028189,0.00026334,0.00025562,-0.00246776,-0.00089964,-9.817623,0
16864085,0,0.02,0,0.01,3.71,3.71,0,0,232,52,52,0.00020634,0.00024585,0.00024053,-0.0012365,-0.00260661,-9.817698,0
16864085,0,0.02,0,0.01,3.71,3.71,0,0,232,52,52,0.00019253,0.00018049,0.00028128,-0.00151405,-0.00047551,-9.81735,0
16914065,0,0.02,0,0.01,3.71,3.71,0,0,232,52,52,0.00025253,0.0002014,0.00023491,-0.00109573,-0.00058385,-9.816985,0
16964045,0,0.02,0,0.01,3.71,3.71,0,0,232,52,52,0.0002198,0.0001766,0.00032464,-0.00041585,-0.00098597,-9.818119,0
16964045,0,0.02,0,0.01,3.71,3.71,0,0,232,52,52,0.00019492,0.00022474,0.00020838,-0.00121851,-0.00034258,-9.817597,0
17014025,0,0.02,0,0.01,3.715,3.715,0,0,232,52,52,0.00022628,0.00019103,0.000233,-0.00165084,-0.00094842,-9.818033,0
17064005,0,0.02,0,0.01,3.72,3.72,0,0,232,52,52,0.00027579,0.00013433,0.00023761,-0.0009018,-0.00156247,-9.817067,0
17064005,0,0.02,0,0.01,3.72,3.72,0,0,232,52,52,0.00022635,0.0002179,0.00022435,-0.00137777,-0.00210865,-9.81637,0
17113985,0,0.02,0,0.01,3.72,3.72,0,0,232,52,52,0.00019957,0.00018837,0.00024024,-0.0012373,-0.00123364,-9.817915,0
17163965,0,0.02,0,0.01,3.72,3.72,0,0,232,52,52,0.000188,0.00015203,0.00017454,-0.00088689,-0.00088974,-9.817675,0
17163965,0,0.02,0,0.01,3.72,3.72,0,0,232,52,52,0.00020812,0.00026465,0.00025643,-0.00168064,-0.00147563,-9.818183,0
17213945,0,0.02,0,0.01,3.72,3.72,0,0,232,52,52,0.00024534,0.00025973,0.00019751,-0.00057772,-0.00093806,-9.817782,0
17263925,0,0.02,0,0.01,3.72,3.72,0,0,232,52,52,0.00015201,0.0002414,0.0002529,-0.0017966,-0.00188539,-9.817609,0
17263925,0,0.02,0,0.01,3.72,3.72,0,0,232,52,52,0.00023053,0.00019643,0.00022513,-0.00042808,-0.00049449,-9.817251,0
17313905,0,0.02,0,0.01,3.72,3.72,0,0,232,52,52,0.00025184,0.0002866,0.00023513,-0.00177148,-0.00152906,-9.81793,0
17363885,0,0.02,0,0.01,3.72,3.72,0,0,232,52,52,0.0001814,0.00024763,0.00027267,-0.001556,-0.00103442,-9.817953,0
17363885,0,0.02,0,0.01,3.72,3.72,0,0,232,52,52,0.00020684,0.00022456,0.00025729,-0.00044624,-0.001288,-9.816887,0
17413865,0,0.02,0,0.01,3.715,3.715,0,0,232,52,52,0.0002478,0.00021016,0.00020591,-0.00070264,-0.00168872,-9.816875,0
17463845,0,0.02,0,0.01,3.71,3.71,0,0,232,52,52,0.00022513,0.00021861,0.00020536,-0.00242235,-0.00125065,-9.817476,0
17463845,0,0.02,0,0.01,3.71,3.71,0,0,232,52,52,0.00027072,0.00029245,0.00027894,-0.00159821,-0.00198053,-9.81774,0
17513825,0,0.02,0,0.01,3.71,3.71,0,0,232,52,52,0.0002263,0.00019552,0.00024137,-0.00023947,-0.00115485,-9.817962,0
17563805,0,0.02,0,0.01,3.71,3.71,0,0,232,52,52,0.00025369,0.00019917,0.00018843,-0.00214992,-0.00078288,-9.817819,0
17563805,0,0.02,0,0.01,3.71,3.71,0,0,232,52,52,0.00028478,0.00015762,0.00014042,-0.00117764,-0.00146924,-9.817125,0
17613785,0,0.02,0,0.01,3.71,3.71,0,0,232,52,52,0.00030276,0.00019695,0.000252,-0.00030803,-0.00042118,-9.818879,0
17663765,0,0.02,0,0.01,3.71,3.71,0,0,232,52,52,0.00023636,0.00017043,0.00005324,-0.0017871,0.00004992,-9.817501,0
17663765,0,0.02,0,0.01,3.71,3.71,0,0,232,52,52,0.00025882,0.00026153,0.00028866,-0.00163672,-0.0009396,-9.818338,0
17713745,0,0.02,0,0.01,3.705,3.705,0,0,232,52,52,0.0001766,0.00024882,0.00025183,-0.00196261,-0.00061214,-9.817578,0
17763725,0,0.02,0,0.01,3.7,3.7,0,0,232,52,52,0.00026158,0.00020921,0.00026539,-0.00140716,-0.00053483,-9.817175,0
17763725,0,0.02,0,0.01,3.7,3.7,0,0,232,52,52,0.0002533,0.00015363,0.00018664,-0.00059367,-0.00148741,-9.817453,0
17813705,0,0.02,0,0.01,3.7,3.7,0,0,232,52,52,0.00023783,0.00031464,0.00026297,-0.00044705,-0.00086087,-9.817781,0
17863685,0,0.02,0,0.01,3.7,3.7,0,0,232,52,52,0.00026437,0.00023191,0.00033724,0.00033856,-0.00096238,-9.817656,0
17863685,0,0.02,0,0.01,3.7,3.7,0,0,232,52,52,0.00031673,0.00020009,0.00021964,-0.00044299,-0.00087225,-9.818621,0
17913665,0,0.02,0,0.01,3.695,3.695,0,0,232,52,52,0.00028502,0.00022445,0.0002411,-0.00110567,-0.00174917,-9.817256,0
17963645,0,0.02,0,0.01,3.69,3.69,0,0,232,52,52,0.00028761,0.00028137,0.00025365,-0.00139948,-0.00063198,-9.818172,0
17963645,0,0.02,0,0.01,3.69,3.69,0,0,232,52,52,0.00023021,0.00025107,0.00023851,-0.0012206,-0.00056032,-9.818099,0
18013625,0,0.02,0,0.01,3.69,3.69,0,0,232,52,52,0.00021152,0.00017964,0.00023611,-0.00189336,-0.00117541,-9.817019,0
18063605,0,0.02,0,0.01,3.69,3.69,0,0,232,52,52,0.00029723,0.00019794,0.00013972,-0.00148707,-0.0006408,-9.817009,0
18063605,0,0.02,0,0.01,3.69,3.69,0,0,232,52,52,0.000262,0.00028854,0.00029996,-0.00197787,-0.00122415,-9.819036,0
18113585,0,0.02,0,0.01,3.685,3.685,0,0,232,52,52,0.00026047,0.0003124,0.00026275,-0.00011534,-0.00236781,-9.817297,0
18163565,0,0.02,0,0.01,3.68,3.68,0,0,232,52,52,0.00023631,0.00028067,0.00027672,-0.00040062,-0.0004031,-9.817719,0
18163565,0,0.02,0,0.01,3.68,3.68,0,0,232,52,52,0.00029886,0.00030366,0.00021283,-0.00034385,-0.00126354,-9.817064,0
18213545,0,0.02,0,0.01,3.68,3.68,0,0,232,52,52,0.0001984,0.00019775,0.00025887,-0.00118949,-0.00016287,-9.816547,0
18263525,0,0.02,0,0.01,3.68,3.68,0,0,232,52,52,0.00024121,0.00020422,0.0003149,-0.00116038,-0.00131062,-9.817455,0
18263525,0,0.02,0,0.01,3.68,3.68,0,0,232,52,52,0.00022619,0.00020409,0.00026382,-0.00021759,-0.0009175,-9.817652,0
18313505,0,0.02,0,0.01,3.675,3.675,0,0,232,52,52,0.00032131,0.0002582,0.00029969,-0.00034771,-0.00063361,-9.817186,0
18363485,0,0.02,0,0.01,3.67,3.67,0,0,232,52,52,0.00028049,0.00018376,0.00021976,-0.00113383,-0.00077726,-9.816128,0
18363485,0,0.02,0,0.01,3.67,3.67,0,0,232,52,52,0.00024044,0.00020066,0.00020275,-0.00139031,-0.00109546,-9.817412,0
18413465,0,0.02,0,0.01,3.665,3.665,0,0,232,52,52,0.00024045,0.00018723,0.00024494,-0.00121189,-0.00171986,-9.817736,0
18463445,0,0.02,0,0.01,3.66,3.66,0,0,232,52,52,0.00019721,0.0002376,0.00032814,-0.00100766,-0.00162792,-9.817418,0
18463445,0,0.02,0,0.01,3.66,3.66,0,0,232,52,52,0.00022556,0.0002213,0.00030635,-0.0013636,-0.00058196,-9.817567,0
18513425,0,0.02,0,0.01,3.655,3.655,0,0,232,52,52,0.0002201,0.0002045,0.00026841,-0.00067284,-0.00051388,-9.817444,0
18563405,0,0.02,0,0.01,3.65,3.65,0,0,232,52,52,0.00023851,0.00025092,0.00023956,-0.00118641,-0.00103628,-9.818089,0
18563405,0,0.02,0,0.01,3.65,3.65,0,0,232,52,52,0.00029618,0.0002059,0.00022917,-0.00139868,-0.00124737,-9.818377,0
18613385,0,0.02,0,0.01,3.65,3.65,0,0,232,52,52,0.00030347,0.00023816,0.00032364,-0.00070929,-0.00078761,-9.816311,0
18663365,0,0.02,0,0.01,3.65,3.65,0,0,232,52,52,0.00025637,0.00018429,0.00019793,0.00011815,-0.00166192,-9.818711,0
18663365,0,0.02,0,0.01,3.65,3.65,0,0,232,52,52,0.0001618,0.00029225,0.00026671,-0.00093558,0.00001971,-9.816946,0
